1	あ	01
2	い	02
3	う	03
4	え	04
5	お	05
6	か	06
7	き	07
8	く	08
9	け	09
10	こ	0A
11	さ	0B
12	し	0C
13	す	0D
14	せ	0E
15	そ	0F
16	た	10
17	ち	11
18	つ	12
19	て	13
20	と	14
21	な	15
22	に	16
23	ぬ	17
24	ね	18
25	の	19
26	は	1A
27	ひ	1B
28	ふ	1C
29	へ	1D
30	ほ	1E
31	ま	1F
32	み	20
33	む	21
34	め	22
35	も	23
36	や	24
37	ゆ	25
38	よ	26
39	ら	27
40	り	28
41	る	29
42	れ	2A
43	ろ	2B
44	わ	2C
45	を	2D
46	ん	2E
47	ぁ	2F
48	ぃ	30
49	ぅ	31
50	ぇ	32
51	ぉ	33
52	ゃ	34
53	ゅ	35
54	ょ	36
55	が	37
56	ぎ	38
57	ぐ	39
58	げ	3A
59	ご	3B
60	ざ	3C
61	じ	3D
62	ず	3E
63	ぜ	3F
64	ぞ	40
65	だ	41
66	ぢ	42
67	づ	43
68	で	44
69	ど	45
70	ば	46
71	び	47
72	ぶ	48
73	べ	49
74	ぼ	4A
75	ぱ	4B
76	ぴ	4C
77	ぷ	4D
78	ぺ	4E
79	ぽ	4F
80	っ	50
81	ア	51
82	イ	52
83	ウ	53
84	エ	54
85	オ	55
86	カ	56
87	キ	57
88	ク	58
89	ケ	59
90	コ	5A
91	サ	5B
92	シ	5C
93	ス	5D
94	セ	5E
95	ソ	5F
96	タ	60
97	チ	61
98	ツ	62
99	テ	63
100	ト	64
101	ナ	65
102	ニ	66
103	ヌ	67
104	ネ	68
105	ノ	69
106	ハ	6A
107	ヒ	6B
108	フ	6C
109	ヘ	6D
110	ホ	6E
111	マ	6F
112	ミ	70
113	ム	71
114	メ	72
115	モ	73
116	ヤ	74
117	ユ	75
118	ヨ	76
119	ラ	77
120	リ	78
121	ル	79
122	レ	7A
123	ロ	7B
124	ワ	7C
125	ヲ	7D
126	ン	7E
127	ァ	7F
128	ィ	80
129	ゥ	81
130	ェ	82
131	ォ	83
132	ャ	84
133	ュ	85
134	ョ	86
135	ガ	87
136	ギ	88
137	グ	89
138	ゲ	8A
139	ゴ	8B
140	ザ	8C
141	ジ	8D
142	ズ	8E
143	ゼ	8F
144	ゾ	90
145	ダ	91
146	ヂ	92
147	ヅ	93
148	デ	94
149	ド	95
150	バ	96
151	ビ	97
152	ブ	98
153	ベ	99
154	ボ	9A
155	パ	9B
156	ピ	9C
157	プ	9D
158	ペ	9E
159	ポ	9F
160	ッ	A0
161	0	A1
162	1	A2
163	2	A3
164	3	A4
165	4	A5
166	5	A6
167	6	A7
168	7	A8
169	8	A9
170	9	AA
171	！	AB
172	？	AC
173	。	AD
174	ー	AE
175	・	AF
176	…	B0
177	『	B1
178	』	B2
179	「	B3
180	」	B4
181	♂	B5
182	♀	B6
183	円	B7
184	.	B8
185	×	B9
186	/	BA
187	A	BB
188	B	BC
189	C	BD
190	D	BE
191	E	BF
192	F	C0
193	G	C1
194	H	C2
195	I	C3
196	J	C4
197	K	C5
198	L	C6
199	M	C7
200	N	C8
201	O	C9
202	P	CA
203	Q	CB
204	R	CC
205	S	CD
206	T	CE
207	U	CF
208	V	D0
209	W	D1
210	X	D2
211	Y	D3
212	Z	D4
213	a	D5
214	b	D6
215	c	D7
216	d	D8
217	e	D9
218	f	DA
219	g	DB
220	h	DC
221	i	DD
222	j	DE
223	k	DF
224	l	E0
225	m	E1
226	n	E2
227	o	E3
228	p	E4
229	q	E5
230	r	E6
231	s	E7
232	t	E8
233	u	E9
234	v	EA
235	w	EB
236	x	EC
237	y	ED
238	z	EE
239	▶	EF
240	:	F0
241	Ä	F1
242	Ö	F2
243	Ü	F3
244	ä	F4
245	ö	F5
246	ü	F6
247		F7
248		F8
249		F9
250	转行	FA
251		FB
252		FC
253		FD
254	清空名字	FE
255		FF
